Persona,Age,Gender,Nationality,Emirate,Income,Shopping_Frequency,Shopping_Channel,Avg_Spend_Bucket,Recent_Luxury_Purchase,Luxury_View,Social_Perception,Motivation,Trade_Off,Discount_Sensitivity,Scenario_Behavior,Categories,Ethnic_Preference,Color_Preference,Kitchenware_Type,Bundle_Preference,Discovery_Channel,Influencer_Impact,Risk_Concern,Max_Spend,Interest_Level,Will_Buy
Affluent Expat,21-30,Female,South Asian,Dubai,25K-50K,Weekly,Mall,5000-15000,Yes,Reward,Low,Price,Design,10-20%,Niche Brand,Accessories,Abaya,Bold,Designer,No,Instagram,Low,Trust,3162,Not Interested,No
Budget Buyer,51+,Female,South Asian,Other,<5K,Rarely,Mixed,<500,No,Not important,High,Quality,Brand,40%+,Wait Discount,Ethnic Wear,Abaya,Dark,Non-stick,Maybe,YouTube,High,None,1371,Not Interested,No
Value Expat,51+,Female,South Asian,Dubai,5K-10K,Occasional,Mall,<500,Yes,Occasional,High,Social Media,Design,20-40%,Not Buy,Ethnic Wear,Fusion,Bold,Non-stick,Yes,TikTok,Medium,Trust,7588,Very Interested,Yes
Value Expat,Under21,Female,South Asian,Abu Dhabi,10K-25K,Rarely,Mixed,1500-5000,Yes,Occasional,Medium,Price,Design,40%+,Wait Discount,Home Decor,Fusion,Neutral,Cast Iron,Maybe,Instagram,None,None,4588,Not Interested,No
Luxury Emirati,41-50,Female,Other,Sharjah,>50K,Monthly,Mixed,5000-15000,Yes,Necessity,High,Status,Design,No discount needed,Niche Brand,Home Decor,Saree,Bold,Steel,Yes,Influencers,Low,Price,17283,Very Interested,Yes
Luxury Emirati,41-50,Male,Emirati,Sharjah,>50K,Monthly,Boutique,1500-5000,Yes,Necessity,Low,Price,Design,No discount needed,Not Buy,Home Decor,NA,Bold,Designer,Yes,Friends,None,Quality,26658,Neutral,Yes
Luxury Emirati,21-30,Female,Arab,Other,>50K,Monthly,Mixed,500-1500,Yes,Necessity,Low,Social Media,Brand,No discount needed,Wait Discount,Ethnic Wear,Fusion,Dark,Non-stick,Yes,Friends,None,Price,10285,Not Interested,Yes
Budget Buyer,41-50,Female,Western,Other,<5K,Weekly,Mixed,1500-5000,No,Not important,High,Social Media,Brand,40%+,Luxury Brand,Kitchenware,Saree,Bold,Steel,No,TikTok,Low,Social,812,Neutral,No
Value Expat,Under21,Female,South Asian,Abu Dhabi,10K-25K,Monthly,Mall,>15000,No,Occasional,High,Status,Design,20-40%,Niche Brand,Ethnic Wear,Saree,Pastel,Designer,Yes,YouTube,Medium,Price,2560,Not Interested,No
Value Expat,41-50,Female,South Asian,Other,10K-25K,Weekly,Mixed,500-1500,Yes,Occasional,High,Design,Design,40%+,Niche Brand,Luxury Fashion,Fusion,Pastel,Steel,No,YouTube,High,Quality,6345,Very Interested,No
Luxury Emirati,31-40,Male,Emirati,Other,25K-50K,Weekly,Mixed,500-1500,Yes,Necessity,Low,Status,Design,No discount needed,Not Buy,Luxury Fashion,NA,Pastel,Cast Iron,No,Instagram,Low,None,19101,Neutral,Yes
Budget Buyer,51+,Male,Arab,Abu Dhabi,<5K,Rarely,Mixed,<500,No,Not important,Low,Price,Brand,40%+,Wait Discount,Ethnic Wear,Fusion,Bold,Cast Iron,Maybe,YouTube,Low,Trust,1536,Not Interested,No
Budget Buyer,41-50,Male,Western,Sharjah,<5K,Monthly,Boutique,1500-5000,No,Not important,High,Quality,Design,40%+,Wait Discount,Luxury Fashion,Fusion,Neutral,Cast Iron,Maybe,TikTok,Low,Quality,2805,Not Interested,No
Affluent Expat,31-40,Female,Emirati,Other,25K-50K,Occasional,Boutique,5000-15000,Yes,Reward,Medium,Social Media,Brand,20-40%,Not Buy,Luxury Fashion,Saree,Bold,Non-stick,Yes,Influencers,Low,None,18686,Neutral,No
Affluent Expat,41-50,Female,South Asian,Dubai,25K-50K,Weekly,Mall,<500,No,Reward,Low,Social Media,Design,20-40%,Luxury Brand,Home Decor,Fusion,Pastel,Steel,Yes,Friends,High,Price,3040,Very Interested,Yes
Affluent Expat,51+,Male,Arab,Sharjah,25K-50K,Weekly,Mall,<500,Yes,Reward,Low,Price,Design,10-20%,Not Buy,Luxury Fashion,Fusion,Neutral,Designer,Yes,Influencers,None,None,19288,Neutral,Yes
Affluent Expat,41-50,Female,Arab,Abu Dhabi,25K-50K,Rarely,Online,1500-5000,Yes,Reward,Medium,Quality,Brand,20-40%,Wait Discount,Luxury Fashion,Abaya,Dark,Non-stick,No,Instagram,High,Price,15466,Interested,Yes
Value Expat,Under21,Male,Other,Dubai,10K-25K,Occasional,Mixed,1500-5000,Yes,Occasional,High,Social Media,Brand,40%+,Niche Brand,Luxury Fashion,Saree,Bold,Cast Iron,Yes,TikTok,Low,None,6586,Very Interested,Yes
Affluent Expat,Under21,Male,Other,Dubai,25K-50K,Weekly,Online,>15000,Yes,Reward,Low,Status,Brand,20-40%,Luxury Brand,Accessories,Saree,Pastel,Cast Iron,Yes,Influencers,High,Quality,15605,Not Interested,Yes
